Kinase,Z,method,AvgZ
FAK,-2.1,640091108>0.15,-1.627777777777778
SEV,1.82,640091108>0.15,1.4436111111111112
JAK,-1.73,640091108>0.15,-1.462222222222222
EPH,-1.69,640091108>0.15,-1.0480555555555555
SRC,-1.57,640091108>0.15,-0.5294444444444444
VEGFR,1.5,640091108>0.15,1.3138888888888889
ALK,1.44,640091108>0.15,1.5274999999999999
DDR,1.42,640091108>0.15,1.9466666666666668
EGFR,-1.39,640091108>0.15,0.009166666666666682
SYK,-0.94,640091108>0.15,-0.20555555555555557
CSK,0.94,640091108>0.15,0.8280555555555555
AXL,-0.86,640091108>0.15,-0.7327777777777778
RYK,-0.82,640091108>0.15,-0.8230555555555555
MET,-0.63,640091108>0.15,0.7494444444444444
ACK,-0.57,640091108>0.15,-0.5922222222222222
TEC,0.54,640091108>0.15,1.1272222222222221
TRK,0.48,640091108>0.15,0.1597222222222222
INSR,0.46,640091108>0.15,1.1391666666666667
PDGFR,-0.3,640091108>0.15,-0.4469444444444444
ABL,0.23,640091108>0.15,1.21
FER,-0.17,640091108>0.15,0.1847222222222222
FRK,-0.14,640091108>0.15,0.7597222222222222
FGFR,0.12,640091108>0.15,0.88
RET,0.01,640091108>0.15,-0.38611111111111107
FAK,-2.47,640091108>0.2,-1.627777777777778
SEV,2,640091108>0.2,1.4436111111111112
ALK,1.72,640091108>0.2,1.5274999999999999
DDR,1.71,640091108>0.2,1.9466666666666668
SRC,-1.55,640091108>0.2,-0.5294444444444444
VEGFR,1.36,640091108>0.2,1.3138888888888889
EPH,-1.11,640091108>0.2,-1.0480555555555555
SYK,-1.1,640091108>0.2,-0.20555555555555557
JAK,-1.06,640091108>0.2,-1.462222222222222
CSK,0.76,640091108>0.2,0.8280555555555555
INSR,0.74,640091108>0.2,1.1391666666666667
RYK,-0.7,640091108>0.2,-0.8230555555555555
FGFR,0.69,640091108>0.2,0.88
AXL,-0.68,640091108>0.2,-0.7327777777777778
ABL,0.61,640091108>0.2,1.21
ACK,-0.5,640091108>0.2,-0.5922222222222222
RET,0.45,640091108>0.2,-0.38611111111111107
FRK,-0.43,640091108>0.2,0.7597222222222222
EGFR,-0.36,640091108>0.2,0.009166666666666682
TEC,0.24,640091108>0.2,1.1272222222222221
FER,0.17,640091108>0.2,0.1847222222222222
PDGFR,0.1,640091108>0.2,-0.4469444444444444
MET,0.08,640091108>0.2,0.7494444444444444
TRK,-0.05,640091108>0.2,0.1597222222222222
SEV,2.37,640091108>0.3,1.4436111111111112
SRC,-2.1,640091108>0.3,-0.5294444444444444
FAK,-2,640091108>0.3,-1.627777777777778
DDR,1.8,640091108>0.3,1.9466666666666668
TEC,1.76,640091108>0.3,1.1272222222222221
VEGFR,1.68,640091108>0.3,1.3138888888888889
ALK,1.59,640091108>0.3,1.5274999999999999
JAK,-1.54,640091108>0.3,-1.462222222222222
FGFR,1.4,640091108>0.3,0.88
CSK,1.34,640091108>0.3,0.8280555555555555
SYK,-1.33,640091108>0.3,-0.20555555555555557
AXL,-1.31,640091108>0.3,-0.7327777777777778
RET,0.93,640091108>0.3,-0.38611111111111107
