Kinase,Z,method,AvgZ
FAK,-2.5,640091215>0.15,-1.9725
PDGFR,-1.55,640091215>0.15,-1.5
RYK,-1.48,640091215>0.15,-1.2791666666666666
TEC,-1.47,640091215>0.15,-0.9458333333333333
ALK,1.1,640091215>0.15,1.0133333333333334
SEV,0.96,640091215>0.15,1.1633333333333333
ACK,0.92,640091215>0.15,0.9958333333333333
JAK,-0.92,640091215>0.15,-0.8558333333333333
EPH,-0.87,640091215>0.15,-0.545
CSK,0.86,640091215>0.15,0.8241666666666667
INSR,0.84,640091215>0.15,-0.3441666666666667
SYK,-0.83,640091215>0.15,-0.6333333333333333
FGFR,0.78,640091215>0.15,0.5700000000000001
EGFR,-0.74,640091215>0.15,-0.5008333333333334
RET,-0.74,640091215>0.15,-0.6858333333333333
TRK,-0.69,640091215>0.15,-0.8066666666666666
DDR,0.66,640091215>0.15,0.6008333333333333
FER,-0.55,640091215>0.15,-0.04916666666666667
MET,0.48,640091215>0.15,0.4
ABL,-0.41,640091215>0.15,-0.25749999999999995
AXL,-0.4,640091215>0.15,-0.005833333333333339
SRC,-0.27,640091215>0.15,-0.24416666666666667
VEGFR,0.27,640091215>0.15,0.5675
FRK,0.1,640091215>0.15,0.08083333333333335
FAK,-2.33,640091215>0.2,-1.9725
RYK,-1.45,640091215>0.2,-1.2791666666666666
PDGFR,-1.34,640091215>0.2,-1.5
ALK,1.24,640091215>0.2,1.0133333333333334
TEC,-1.23,640091215>0.2,-0.9458333333333333
EPH,-1.17,640091215>0.2,-0.545
ACK,0.98,640091215>0.2,0.9958333333333333
SEV,0.96,640091215>0.2,1.1633333333333333
INSR,0.93,640091215>0.2,-0.3441666666666667
CSK,0.91,640091215>0.2,0.8241666666666667
JAK,-0.83,640091215>0.2,-0.8558333333333333
FGFR,0.82,640091215>0.2,0.5700000000000001
RET,-0.7,640091215>0.2,-0.6858333333333333
DDR,0.69,640091215>0.2,0.6008333333333333
TRK,-0.65,640091215>0.2,-0.8066666666666666
SYK,-0.65,640091215>0.2,-0.6333333333333333
MET,0.56,640091215>0.2,0.4
EGFR,-0.53,640091215>0.2,-0.5008333333333334
FER,-0.44,640091215>0.2,-0.04916666666666667
VEGFR,0.36,640091215>0.2,0.5675
ABL,-0.36,640091215>0.2,-0.25749999999999995
AXL,-0.35,640091215>0.2,-0.005833333333333339
SRC,-0.29,640091215>0.2,-0.24416666666666667
FRK,0.14,640091215>0.2,0.08083333333333335
FAK,-2.26,640091215>0.3,-1.9725
PDGFR,-1.5,640091215>0.3,-1.5
RYK,-1.4,640091215>0.3,-1.2791666666666666
TEC,-1.3,640091215>0.3,-0.9458333333333333
ALK,1.29,640091215>0.3,1.0133333333333334
EPH,-1.11,640091215>0.3,-0.545
INSR,0.99,640091215>0.3,-0.3441666666666667
SEV,0.97,640091215>0.3,1.1633333333333333
ACK,0.96,640091215>0.3,0.9958333333333333
JAK,-0.77,640091215>0.3,-0.8558333333333333
SYK,-0.76,640091215>0.3,-0.6333333333333333
CSK,0.76,640091215>0.3,0.8241666666666667
DDR,0.74,640091215>0.3,0.6008333333333333
RET,-0.7,640091215>0.3,-0.6858333333333333
EGFR,-0.63,640091215>0.3,-0.5008333333333334
FGFR,0.62,640091215>0.3,0.5700000000000001
MET,0.57,640091215>0.3,0.4
TRK,-0.56,640091215>0.3,-0.8066666666666666
VEGFR,0.45,640091215>0.3,0.5675
FER,-0.42,640091215>0.3,-0.04916666666666667
SRC,-0.39,640091215>0.3,-0.24416666666666667
AXL,-0.25,640091215>0.3,-0.005833333333333339
ABL,-0.25,640091215>0.3,-0.25749999999999995
FRK,0.2,640091215>0.3,0.08083333333333335
FAK,-1.83,640091215>0.4,-1.9725
TEC,-1.8,640091215>0.4,-0.9458333333333333
RYK,-1.35,640091215>0.4,-1.2791666666666666
INSR,1.14,640091215>0.4,-0.3441666666666667
SEV,1.04,640091215>0.4,1.1633333333333333
SYK,-1.02,640091215>0.4,-0.6333333333333333
JAK,-1.02,640091215>0.4,-0.8558333333333333
RET,-1,640091215>0.4,-0.6858333333333333
PDGFR,-0.96,640091215>0.4,-1.5
VEGFR,0.93,640091215>0.4,0.5675
ACK,-0.92,640091215>0.4,0.9958333333333333
DDR,0.91,640091215>0.4,0.6008333333333333
SRC,0.85,640091215>0.4,-0.24416666666666667
EGFR,-0.81,640091215>0.4,-0.5008333333333334
MET,0.73,640091215>0.4,0.4
TRK,-0.68,640091215>0.4,-0.8066666666666666
ALK,0.59,640091215>0.4,1.0133333333333334
EPH,-0.55,640091215>0.4,-0.545
FRK,0.53,640091215>0.4,0.08083333333333335
CSK,0.45,640091215>0.4,0.8241666666666667
ABL,-0.36,640091215>0.4,-0.25749999999999995
FGFR,0.32,640091215>0.4,0.5700000000000001
FER,-0.15,640091215>0.4,-0.04916666666666667
AXL,-0.09,640091215>0.4,-0.005833333333333339
FAK,-2.57,640091216>0.15,-1.9725
PDGFR,-1.81,640091216>0.15,-1.5
JAK,-1.56,640091216>0.15,-0.8558333333333333
RYK,-1.4,640091216>0.15,-1.2791666666666666
SYK,-1.05,640091216>0.15,-0.6333333333333333
TRK,-1.03,640091216>0.15,-0.8066666666666666
SEV,0.97,640091216>0.15,1.1633333333333333
ALK,0.96,640091216>0.15,1.0133333333333334
ACK,0.96,640091216>0.15,0.9958333333333333
EGFR,-0.92,640091216>0.15,-0.5008333333333334
ABL,-0.87,640091216>0.15,-0.25749999999999995
VEGFR,0.84,640091216>0.15,0.5675
SRC,-0.76,640091216>0.15,-0.24416666666666667
CSK,0.76,640091216>0.15,0.8241666666666667
DDR,0.74,640091216>0.15,0.6008333333333333
EPH,-0.74,640091216>0.15,-0.545
RET,-0.7,640091216>0.15,-0.6858333333333333
TEC,-0.68,640091216>0.15,-0.9458333333333333
FGFR,0.62,640091216>0.15,0.5700000000000001
INSR,-0.57,640091216>0.15,-0.3441666666666667
FER,-0.42,640091216>0.15,-0.04916666666666667
FRK,0.2,640091216>0.15,0.08083333333333335
MET,-0.18,640091216>0.15,0.4
AXL,0.07,640091216>0.15,-0.005833333333333339
FAK,-2.35,640091216>0.2,-1.9725
PDGFR,-1.67,640091216>0.2,-1.5
RYK,-1.41,640091216>0.2,-1.2791666666666666
JAK,-1.39,640091216>0.2,-0.8558333333333333
INSR,-1.22,640091216>0.2,-0.3441666666666667
EGFR,-1.11,640091216>0.2,-0.5008333333333334
ACK,1.03,640091216>0.2,0.9958333333333333
SEV,0.99,640091216>0.2,1.1633333333333333
TRK,-0.99,640091216>0.2,-0.8066666666666666
ABL,-0.98,640091216>0.2,-0.25749999999999995
VEGFR,0.97,640091216>0.2,0.5675
SYK,-0.94,640091216>0.2,-0.6333333333333333
SRC,-0.91,640091216>0.2,-0.24416666666666667
DDR,0.91,640091216>0.2,0.6008333333333333
ALK,0.75,640091216>0.2,1.0133333333333334
CSK,0.68,640091216>0.2,0.8241666666666667
RET,-0.62,640091216>0.2,-0.6858333333333333
EPH,-0.56,640091216>0.2,-0.545
TEC,-0.56,640091216>0.2,-0.9458333333333333
FER,-0.39,640091216>0.2,-0.04916666666666667
FRK,0.31,640091216>0.2,0.08083333333333335
FGFR,0.13,640091216>0.2,0.5700000000000001
AXL,-0.05,640091216>0.2,-0.005833333333333339
MET,-0.01,640091216>0.2,0.4
INSR,-1.98,640091216>0.3,-0.3441666666666667
FAK,-1.83,640091216>0.3,-1.9725
EGFR,-1.39,640091216>0.3,-0.5008333333333334
RYK,-1.35,640091216>0.3,-1.2791666666666666
PDGFR,-1.27,640091216>0.3,-1.5
TRK,-1.14,640091216>0.3,-0.8066666666666666
ACK,1.09,640091216>0.3,0.9958333333333333
CSK,1.05,640091216>0.3,0.8241666666666667
SEV,1.04,640091216>0.3,1.1633333333333333
JAK,-1.02,640091216>0.3,-0.8558333333333333
SRC,-0.93,640091216>0.3,-0.24416666666666667
VEGFR,0.93,640091216>0.3,0.5675
ALK,0.93,640091216>0.3,1.0133333333333334
SYK,-0.72,640091216>0.3,-0.6333333333333333
ABL,-0.67,640091216>0.3,-0.25749999999999995
EPH,-0.55,640091216>0.3,-0.545
DDR,0.54,640091216>0.3,0.6008333333333333
FRK,0.53,640091216>0.3,0.08083333333333335
RET,-0.41,640091216>0.3,-0.6858333333333333
MET,0.35,640091216>0.3,0.4
FER,-0.15,640091216>0.3,-0.04916666666666667
TEC,0.1,640091216>0.3,-0.9458333333333333
AXL,-0.09,640091216>0.3,-0.005833333333333339
FGFR,-0.01,640091216>0.3,0.5700000000000001
INSR,-1.84,640091216>0.4,-0.3441666666666667
FAK,-1.71,640091216>0.4,-1.9725
CSK,1.3,640091216>0.4,0.8241666666666667
RYK,-1.29,640091216>0.4,-1.2791666666666666
PDGFR,-1.23,640091216>0.4,-1.5
ALK,1.11,640091216>0.4,1.0133333333333334
ACK,1.06,640091216>0.4,0.9958333333333333
SEV,1.06,640091216>0.4,1.1633333333333333
TRK,-1.05,640091216>0.4,-0.8066666666666666
VEGFR,1.03,640091216>0.4,0.5675
EGFR,-1.02,640091216>0.4,-0.5008333333333334
JAK,-0.91,640091216>0.4,-0.8558333333333333
SRC,-0.72,640091216>0.4,-0.24416666666666667
FRK,0.58,640091216>0.4,0.08083333333333335
MET,0.53,640091216>0.4,0.4
ABL,-0.48,640091216>0.4,-0.25749999999999995
EPH,-0.42,640091216>0.4,-0.545
SYK,-0.38,640091216>0.4,-0.6333333333333333
RET,-0.3,640091216>0.4,-0.6858333333333333
DDR,0.29,640091216>0.4,0.6008333333333333
TEC,0.23,640091216>0.4,-0.9458333333333333
FGFR,0.17,640091216>0.4,0.5700000000000001
FER,-0.12,640091216>0.4,-0.04916666666666667
AXL,0.03,640091216>0.4,-0.005833333333333339
FAK,-2.04,640091217>0.15,-1.9725
PDGFR,-1.67,640091217>0.15,-1.5
ALK,1.41,640091217>0.15,1.0133333333333334
RYK,-1.41,640091217>0.15,-1.2791666666666666
CSK,1.27,640091217>0.15,0.8241666666666667
TEC,-1.17,640091217>0.15,-0.9458333333333333
FGFR,1.1,640091217>0.15,0.5700000000000001
ACK,1.03,640091217>0.15,0.9958333333333333
SEV,0.99,640091217>0.15,1.1633333333333333
SYK,-0.94,640091217>0.15,-0.6333333333333333
EPH,-0.92,640091217>0.15,-0.545
DDR,0.91,640091217>0.15,0.6008333333333333
MET,0.73,640091217>0.15,0.4
INSR,0.72,640091217>0.15,-0.3441666666666667
RET,-0.62,640091217>0.15,-0.6858333333333333
JAK,-0.61,640091217>0.15,-0.8558333333333333
EGFR,-0.53,640091217>0.15,-0.5008333333333334
FER,-0.39,640091217>0.15,-0.04916666666666667
FRK,0.31,640091217>0.15,0.08083333333333335
VEGFR,-0.21,640091217>0.15,0.5675
SRC,0.19,640091217>0.15,-0.24416666666666667
ABL,-0.06,640091217>0.15,-0.25749999999999995
AXL,-0.05,640091217>0.15,-0.005833333333333339
TRK,-0.04,640091217>0.15,-0.8066666666666666
TEC,-1.76,640091217>0.2,-0.9458333333333333
FAK,-1.66,640091217>0.2,-1.9725
PDGFR,-1.56,640091217>0.2,-1.5
RET,-1.5,640091217>0.2,-0.6858333333333333
CSK,1.37,640091217>0.2,0.8241666666666667
RYK,-1.28,640091217>0.2,-1.2791666666666666
FGFR,1.25,640091217>0.2,0.5700000000000001
ALK,1.19,640091217>0.2,1.0133333333333334
SEV,1.11,640091217>0.2,1.1633333333333333
ACK,1.09,640091217>0.2,0.9958333333333333
MET,0.9,640091217>0.2,0.4
JAK,-0.83,640091217>0.2,-0.8558333333333333
SRC,0.69,640091217>0.2,-0.24416666666666667
EPH,-0.66,640091217>0.2,-0.545
TRK,-0.59,640091217>0.2,-0.8066666666666666
ABL,0.55,640091217>0.2,-0.25749999999999995
VEGFR,0.36,640091217>0.2,0.5675
DDR,0.35,640091217>0.2,0.6008333333333333
INSR,0.17,640091217>0.2,-0.3441666666666667
AXL,0.15,640091217>0.2,-0.005833333333333339
SYK,0.11,640091217>0.2,-0.6333333333333333
FRK,0.07,640091217>0.2,0.08083333333333335
FER,-0.06,640091217>0.2,-0.04916666666666667
EGFR,0.06,640091217>0.2,-0.5008333333333334
PDGFR,-1.97,640091217>0.3,-1.5
FAK,-1.9,640091217>0.3,-1.9725
TRK,-1.54,640091217>0.3,-0.8066666666666666
SEV,1.5,640091217>0.3,1.1633333333333333
ACK,1.49,640091217>0.3,0.9958333333333333
FRK,-1.19,640091217>0.3,0.08083333333333335
INSR,-1.13,640091217>0.3,-0.3441666666666667
RET,-1.06,640091217>0.3,-0.6858333333333333
JAK,-1.01,640091217>0.3,-0.8558333333333333
FER,0.99,640091217>0.3,-0.04916666666666667
RYK,-0.93,640091217>0.3,-1.2791666666666666
TEC,-0.88,640091217>0.3,-0.9458333333333333
SRC,-0.76,640091217>0.3,-0.24416666666666667
SYK,-0.75,640091217>0.3,-0.6333333333333333
FGFR,0.55,640091217>0.3,0.5700000000000001
AXL,0.55,640091217>0.3,-0.005833333333333339
ALK,0.46,640091217>0.3,1.0133333333333334
EGFR,0.46,640091217>0.3,-0.5008333333333334
CSK,0.4,640091217>0.3,0.8241666666666667
EPH,0.35,640091217>0.3,-0.545
MET,0.32,640091217>0.3,0.4
VEGFR,0.27,640091217>0.3,0.5675
DDR,0.2,640091217>0.3,0.6008333333333333
ABL,-0.19,640091217>0.3,-0.25749999999999995
SEV,2.37,640091217>0.4,1.1633333333333333
ACK,2.26,640091217>0.4,0.9958333333333333
INSR,-2.18,640091217>0.4,-0.3441666666666667
FER,1.51,640091217>0.4,-0.04916666666666667
PDGFR,-1.47,640091217>0.4,-1.5
EGFR,1.15,640091217>0.4,-0.5008333333333334
ALK,1.13,640091217>0.4,1.0133333333333334
ABL,0.99,640091217>0.4,-0.25749999999999995
TEC,-0.83,640091217>0.4,-0.9458333333333333
FRK,-0.81,640091217>0.4,0.08083333333333335
TRK,-0.72,640091217>0.4,-0.8066666666666666
FAK,-0.69,640091217>0.4,-1.9725
EPH,0.66,640091217>0.4,-0.545
VEGFR,0.61,640091217>0.4,0.5675
RYK,-0.6,640091217>0.4,-1.2791666666666666
JAK,0.6,640091217>0.4,-0.8558333333333333
FGFR,0.49,640091217>0.4,0.5700000000000001
AXL,0.41,640091217>0.4,-0.005833333333333339
SRC,0.37,640091217>0.4,-0.24416666666666667
SYK,0.33,640091217>0.4,-0.6333333333333333
DDR,0.27,640091217>0.4,0.6008333333333333
MET,-0.18,640091217>0.4,0.4
RET,0.12,640091217>0.4,-0.6858333333333333
CSK,0.08,640091217>0.4,0.8241666666666667
