Kinase,Z,method,AvgZ
PKCH,2.86,710317413>0.15,2.8575
CK1,-2.63,710317413>0.15,-2.735
IKK,-2.47,710317413>0.15,-2.424166666666667
PKD,-2.45,710317413>0.15,-2.3875
PLK,-2.38,710317413>0.15,-2.4116666666666666
RIPK,-2.31,710317413>0.15,-2.2725
PKN,2.13,710317413>0.15,2.194166666666667
PAKB,2.06,710317413>0.15,2.1550000000000002
ERK,1.91,710317413>0.15,1.8308333333333333
CK2,-1.89,710317413>0.15,-1.8566666666666667
PDK1,1.75,710317413>0.15,1.7325
STE7,-1.74,710317413>0.15,-1.8041666666666667
DYRK,1.64,710317413>0.15,1.5675
AMPK,-1.62,710317413>0.15,-1.4841666666666669
NMO,-1.6,710317413>0.15,-1.5291666666666668
PKA,-1.55,710317413>0.15,-1.4333333333333333
BRSK,1.55,710317413>0.15,1.575
WNK,1.53,710317413>0.15,1.5675000000000001
FRAY,1.52,710317413>0.15,1.4875
MOS,1.48,710317413>0.15,1.5366666666666666
MLCK,1.45,710317413>0.15,1.4433333333333334
STE11,-1.44,710317413>0.15,-1.3633333333333333
PHK,-1.42,710317413>0.15,-1.2674999999999998
VRK1,1.4,710317413>0.15,1.3258333333333332
ATM,-1.34,710317413>0.15,-1.2983333333333333
CAMK1,-1.28,710317413>0.15,-1.1233333333333333
PIM,1.24,710317413>0.15,1.2483333333333333
NEK,-1.23,710317413>0.15,-1.2833333333333332
PKCD,-1.22,710317413>0.15,-1.1408333333333334
RAD53,1.22,710317413>0.15,1.3716666666666666
CAMK2,-1.2,710317413>0.15,-1.0933333333333333
GRK,-1.11,710317413>0.15,-1.0791666666666668
MST,1.09,710317413>0.15,1.1416666666666666
MARK,1.02,710317413>0.15,1.1308333333333334
DMPK,-1.02,710317413>0.15,-0.9083333333333333
TLK,-0.98,710317413>0.15,-0.9291666666666667
TTK,-0.97,710317413>0.15,-0.925
STKR,-0.96,710317413>0.15,-0.8933333333333333
NAK,-0.95,710317413>0.15,-0.9258333333333333
QIK,-0.95,710317413>0.15,-1.08
NUAK,-0.92,710317413>0.15,-0.8983333333333333
AUR,-0.91,710317413>0.15,-0.8416666666666667
RSK,-0.89,710317413>0.15,-0.7133333333333334
GSK,0.83,710317413>0.15,0.7916666666666666
DAPK,0.82,710317413>0.15,0.8941666666666667
ULK,-0.69,710317413>0.15,-0.6608333333333333
PASK,-0.69,710317413>0.15,-0.6566666666666666
NIK,-0.68,710317413>0.15,-0.6508333333333334
BUD32,-0.67,710317413>0.15,-0.6433333333333333
TAO,-0.67,710317413>0.15,-0.6458333333333334
KHS,-0.67,710317413>0.15,-0.6475
CLK,-0.66,710317413>0.15,-0.6425000000000001
CAMKK,-0.66,710317413>0.15,-0.645
SLK,-0.65,710317413>0.15,-0.635
PEK,-0.64,710317413>0.15,-0.4841666666666667
PKG,-0.64,710317413>0.15,-0.5308333333333334
ATR,-0.58,710317413>0.15,-0.6533333333333333
HAL,0.57,710317413>0.15,0.6525
JNK,0.5,710317413>0.15,0.49333333333333335
NDR,-0.5,710317413>0.15,-0.45
AKT,-0.49,710317413>0.15,-0.39166666666666666
SGK,-0.47,710317413>0.15,-0.39416666666666667
PAKA,-0.47,710317413>0.15,-0.3675
IRAK,0.46,710317413>0.15,0.5625
PKCA,-0.45,710317413>0.15,-0.19249999999999998
P38,0.45,710317413>0.15,0.5266666666666666
PKCI,0.45,710317413>0.15,0.48
COT,0.43,710317413>0.15,0.515
MAPKAPK,0.4,710317413>0.15,0.48833333333333334
PDHK,-0.33,710317413>0.15,-0.3641666666666667
RAF,0.32,710317413>0.15,0.355
MLK,-0.27,710317413>0.15,-0.14666666666666667
MSN,-0.25,710317413>0.15,-0.19083333333333333
LKB,-0.25,710317413>0.15,-0.1525
PRKDC,0.23,710317413>0.15,0.15583333333333332
MELK,-0.22,710317413>0.15,-0.32166666666666666
CDK,0.19,710317413>0.15,0.19333333333333333
MTOR,0.18,710317413>0.15,0.2475
BARK2,0.14,710317413>0.15,0.17916666666666667
CHK1,0.01,710317413>0.15,0.1225
PKCH,2.86,710317413>0.2,2.8575
CK1,-2.63,710317413>0.2,-2.735
IKK,-2.47,710317413>0.2,-2.424166666666667
PKD,-2.45,710317413>0.2,-2.3875
PLK,-2.38,710317413>0.2,-2.4116666666666666
RIPK,-2.31,710317413>0.2,-2.2725
PKN,2.13,710317413>0.2,2.194166666666667
PAKB,2.06,710317413>0.2,2.1550000000000002
ERK,1.91,710317413>0.2,1.8308333333333333
CK2,-1.89,710317413>0.2,-1.8566666666666667
PDK1,1.75,710317413>0.2,1.7325
STE7,-1.74,710317413>0.2,-1.8041666666666667
DYRK,1.64,710317413>0.2,1.5675
AMPK,-1.62,710317413>0.2,-1.4841666666666669
NMO,-1.6,710317413>0.2,-1.5291666666666668
PKA,-1.55,710317413>0.2,-1.4333333333333333
BRSK,1.55,710317413>0.2,1.575
WNK,1.53,710317413>0.2,1.5675000000000001
