run,Kinase,AvgZ,rank,quartile
run01,PKCH,2.8575,1,1
run01,CK1,-2.735,80,4
run01,IKK,-2.424166666666667,79,4
run01,PKD,-2.3875,77,4
run01,PLK,-2.411666666666666,78,4
run01,RIPK,-2.2725,76,4
run01,PKN,2.194166666666667,2,1
run01,PAKB,2.155,3,1
run01,ERK,1.830833333333333,4,1
run01,CK2,-1.856666666666667,75,4
run01,PDK1,1.7325,5,1
run01,STE7,-1.8041666666666667,74,4
run01,DYRK,1.5675,7,1
run01,AMPK,-1.4841666666666669,72,4
run01,NMO,-1.5291666666666668,73,4
run01,PKA,-1.4333333333333331,71,4
run01,BRSK,1.575,6,1
run01,WNK,1.5675,8,1
run01,FRAY,1.4875,10,1
run01,MOS,1.5366666666666666,9,1
run01,MLCK,1.4433333333333334,11,1
run01,STE11,-1.3633333333333333,70,4
run01,PHK,-1.2674999999999998,67,4
run01,VRK1,1.3258333333333332,13,1
run01,ATM,-1.2983333333333331,69,4
run01,CAMK1,-1.1233333333333333,65,4
run01,PIM,1.2483333333333333,14,1
run01,NEK,-1.2833333333333332,68,4
run01,PKCD,-1.1408333333333334,66,4
run01,RAD53,1.3716666666666666,12,1
run01,CAMK2,-1.0933333333333333,64,4
run01,GRK,-1.0791666666666668,62,4
run01,MST,1.1416666666666666,15,1
run01,MARK,1.1308333333333334,16,1
run01,DMPK,-0.9083333333333332,58,3
run01,TLK,-0.9291666666666668,61,4
run01,TTK,-0.925,59,3
run01,STKR,-0.8933333333333333,56,3
run01,NAK,-0.9258333333333332,60,3
run01,QIK,-1.08,63,4
run01,NUAK,-0.8983333333333333,57,3
run01,AUR,-0.8416666666666667,55,3
run01,RSK,-0.7133333333333334,54,3
run01,GSK,0.7916666666666666,18,1
run01,DAPK,0.8941666666666667,17,1
run01,ULK,-0.6608333333333333,53,3
run01,PASK,-0.6566666666666666,52,3
run01,NIK,-0.6508333333333334,50,3
run01,BUD32,-0.6433333333333333,46,3
run01,TAO,-0.6458333333333334,48,3
run01,KHS,-0.6475,49,3
run01,CLK,-0.6425000000000001,45,3
run01,CAMKK,-0.645,47,3
run01,SLK,-0.635,44,3
run01,PEK,-0.4841666666666667,42,3
run01,PKG,-0.5308333333333334,43,3
run01,ATR,-0.6533333333333333,51,3
run01,HAL,0.6525,19,1
run01,JNK,0.49333333333333335,23,2
run01,NDR,-0.45,41,3
run01,AKT,-0.39166666666666666,39,2
run01,SGK,-0.39416666666666667,40,2
run01,PAKA,-0.3675,38,2
run01,IRAK,0.5625,20,1
run01,PKCA,-0.1925,35,2
run01,P38,0.5266666666666666,21,2
run01,PKCI,0.48,25,2
run01,COT,0.515,22,2
run01,MAPKAPK,0.48833333333333334,24,2
run01,PDHK,-0.3641666666666667,37,2
run01,RAF,0.355,26,2
run01,MLK,-0.14666666666666667,32,2
run01,MSN,-0.19083333333333333,34,2
run01,LKB,-0.1525,33,2
run01,PRKDC,0.15583333333333332,30,2
run01,MELK,-0.32166666666666666,36,2
run01,CDK,0.19333333333333333,28,2
run01,MTOR,0.2475,27,2
run01,BARK2,0.17916666666666667,29,2
run01,CHK1,0.1225,31,2
run02,DMPK,3.795,1,1
run02,NMO,-3.2625,79,4
run02,DYRK,-3.6775,80,4
run02,PLK,-2.924166666666667,77,4
run02,PKA,3.6833333333333336,2,1
run02,JNK,-3.2291666666666665,78,4
run02,STE7,-2.4775,74,4
run02,RAD53,2.3775,6,1
run02,PIM,2.52,5,1
run02,RSK,2.6433333333333335,4,1
run02,PKCH,1.3875,16,1
run02,SGK,2.2291666666666665,8,1
run02,AKT,2.138333333333333,10,1
run02,ERK,-2.7616666666666667,76,4
run02,PDK1,-2.569166666666667,75,4
run02,PKG,2.890833333333333,3,1
run02,AMPK,2.3516666666666666,7,1
run02,CDK,-1.86,72,4
run02,PAKA,1.81,12,1
run02,PKCD,2.140833333333333,9,1
run02,PHK,1.7008333333333334,14,1
run02,CAMK1,2.0016666666666665,11,1
run02,PKCA,1.0791666666666666,20,1
run02,CK2,-1.285,68,4
run02,TLK,-1.3416666666666666,69,4
run02,STE11,-1.4058333333333333,71,4
run02,NAK,-1.3525,70,4
run02,P38,-1.9475,73,4
run02,MAPKAPK,1.3325,17,1
run02,PDHK,1.0375,23,2
run02,GSK,-1.2025,66,4
run02,MELK,1.1033333333333333,19,1
run02,MST,-1.2583333333333333,67,4
run02,PKN,0.6708333333333333,30,2
run02,PKCI,1.7758333333333334,13,1
run02,PAKB,0.9066666666666666,24,2
run02,HAL,1.528333333333333,15,1
run02,PEK,-0.7658333333333334,56,3
run02,KHS,-0.9533333333333334,65,4
run02,SLK,-0.9491666666666668,63,4
run02,WNK,-0.4391666666666667,51,3
run02,NIK,-0.9516666666666668,64,4
run02,MOS,-0.9333333333333332,60,3
run02,ULK,-0.9275,58,3
run02,CAMKK,-0.9441666666666668,62,4
run02,CLK,-0.9308333333333332,59,3
run02,TAO,1.075,21,2
run02,BUD32,0.895,25,2
run02,CAMK2,-0.9091666666666668,57,3
run02,BRSK,0.7316666666666667,27,2
run02,PASK,1.0491666666666666,22,2
run02,MSN,0.3908333333333333,37,2
run02,PKD,1.14,18,1
run02,CK1,-0.5308333333333334,53,3
run02,GRK,-0.5,52,3
run02,MLK,0.48,34,2
run02,IRAK,-0.9375,61,4
run02,MARK,0.7241666666666666,28,2
run02,CHK1,0.5783333333333334,33,2
run02,ATR,0.7175,29,2
run02,DAPK,0.59,31,2
run02,STKR,-0.29083333333333333,50,3
run02,BARK2,0.5891666666666667,32,2
run02,MTOR,-0.6166666666666667,54,3
run02,LKB,-0.6799999999999999,55,3
run02,IKK,-0.04749999999999999,46,3
run02,QIK,-0.06000000000000001,47,3
run02,RIPK,0.7458333333333333,26,2
run02,COT,0.35083333333333333,39,2
run02,MLCK,0.13916666666666666,40,2
run02,VRK1,0.3691666666666667,38,2
run02,NDR,0.4425,35,2
run02,FRAY,-0.2025,49,3
run02,PRKDC,0.06333333333333332,41,3
run02,AUR,0.4225,36,2
run02,RAF,-0.16916666666666666,48,3
run02,NUAK,-0.02416666666666666,44,3
run02,ATM,0.04916666666666666,43,3
run02,TTK,-0.04333333333333333,45,3
run02,NEK,0.05416666666666665,42,3
run03,NMO,-2.5858333333333334,80,4
run03,PKCH,2.404166666666667,1,1
run03,AKT,2.165,2,1
run03,PLK,-1.8725,79,4
run03,PAKB,1.525,5,1
run03,PKN,1.3758333333333332,7,1
run03,SGK,1.635,3,1
run03,STE7,-1.4216666666666666,76,4
run03,RAD53,1.3316666666666666,9,1
run03,PRKDC,-1.7433333333333334,78,4
run03,ATM,-1.524166666666667,77,4
run03,CK2,-1.2575,73,4
run03,DMPK,1.5533333333333332,4,1
run03,BARK2,-1.3125,75,4
run03,KHS,1.393333333333333,6,1
run03,TAO,1.3658333333333332,8,1
run03,BRSK,0.7891666666666666,17,1
run03,PKCD,-1.284166666666667,74,4
run03,WNK,1.1558333333333333,12,1
run03,STE11,-1.255,72,4
run03,NUAK,-1.0758333333333334,70,4
run03,NAK,-1.0725,69,4
run03,PIM,1.195,11,1
run03,TLK,-1.0625,67,4
run03,DYRK,-1.1841666666666666,71,4
run03,CK1,-0.6416666666666667,49,3
run03,TTK,-1.0708333333333333,68,4
run03,PHK,-0.8466666666666667,64,4
run03,PKD,-0.585,45,3
run03,MLK,-0.8358333333333333,63,4
run03,MLCK,0.9916666666666668,13,1
run03,MAPKAPK,1.2025,10,1
run03,VRK1,0.5491666666666667,21,2
run03,MELK,0.6058333333333333,20,1
run03,PKCA,0.8733333333333333,15,1
run03,IRAK,-0.5991666666666667,47,3
run03,NDR,-0.7333333333333334,52,3
run03,CAMK2,-0.9475,66,4
run03,PKCI,-0.6675,50,3
run03,LKB,-0.9408333333333334,65,4
run03,SLK,-0.7658333333333334,60,3
run03,MOS,-0.7608333333333334,59,3
run03,PASK,-0.7533333333333333,58,3
run03,NIK,-0.7466666666666667,55,3
run03,ULK,-0.75,56,3
run03,BUD32,-0.7525,57,3
run03,CLK,-0.745,54,3
run03,CAMKK,-0.7383333333333334,53,3
run03,CDK,-0.7741666666666667,61,4
