run,Kinase,AvgZ,rank,quartile
run03,RIPK,-0.6258333333333334,48,3
run03,ERK,0.5108333333333334,23,2
run03,ATR,-0.7966666666666666,62,4
run03,PKA,0.9325,14,1
run03,NEK,0.18999999999999995,35,2
run03,GSK,-0.6891666666666667,51,3
run03,MARK,0.5375,22,2
run03,RSK,0.6941666666666667,18,1
run03,PDK1,0.32,27,2
run03,MSN,-0.09666666666666664,40,2
run03,AUR,-0.02083333333333336,38,2
run03,GRK,-0.3466666666666667,42,3
run03,PEK,-0.07083333333333333,39,2
run03,DAPK,0.29083333333333333,29,2
run03,HAL,0.29833333333333334,28,2
run03,AMPK,0.8616666666666667,16,1
run03,RAF,0.35250000000000004,26,2
run03,QIK,-0.11083333333333333,41,3
run03,P38,0.24916666666666668,32,2
run03,IKK,-0.4725,44,3
run03,STKR,0.2725,30,2
run03,MTOR,-0.5925,46,3
run03,CAMK1,0.0233333333333333,37,2
run03,FRAY,0.21916666666666665,33,2
run03,PDHK,0.6408333333333334,19,1
run03,MST,0.19333333333333333,34,2
run03,PKG,0.44916666666666666,25,2
run03,JNK,0.14,36,2
run03,PAKA,0.4608333333333333,24,2
run03,CHK1,0.2625,31,2
run03,COT,-0.43,43,3
