Kinase,Z,method,AvgZ
NMO,-2.72,710317218>0.15,-2.5858333333333334
PKCH,2.64,710317218>0.15,2.404166666666667
AKT,2.47,710317218>0.15,2.165
PLK,-2.27,710317218>0.15,-1.8725
PAKB,1.78,710317218>0.15,1.525
PKN,1.78,710317218>0.15,1.3758333333333332
SGK,1.74,710317218>0.15,1.635
STE7,-1.74,710317218>0.15,-1.4216666666666666
RAD53,1.67,710317218>0.15,1.3316666666666666
PRKDC,-1.64,710317218>0.15,-1.7433333333333334
ATM,-1.59,710317218>0.15,-1.5241666666666667
CK2,-1.54,710317218>0.15,-1.2575
DMPK,1.51,710317218>0.15,1.5533333333333332
BARK2,-1.37,710317218>0.15,-1.3125
KHS,1.26,710317218>0.15,1.3933333333333333
TAO,1.26,710317218>0.15,1.3658333333333332
BRSK,1.26,710317218>0.15,0.7891666666666666
PKCD,-1.25,710317218>0.15,-1.2841666666666667
WNK,1.25,710317218>0.15,1.1558333333333333
STE11,-1.23,710317218>0.15,-1.255
NUAK,-1.17,710317218>0.15,-1.0758333333333334
NAK,-1.16,710317218>0.15,-1.0725
PIM,1.13,710317218>0.15,1.195
TLK,-1.12,710317218>0.15,-1.0625
DYRK,-1.12,710317218>0.15,-1.1841666666666666
CK1,-1.11,710317218>0.15,-0.6416666666666667
TTK,-1.09,710317218>0.15,-1.0708333333333333
PHK,-1.09,710317218>0.15,-0.8466666666666667
PKD,-1.03,710317218>0.15,-0.585
MLK,-1.02,710317218>0.15,-0.8358333333333333
MLCK,1,710317218>0.15,0.9916666666666667
MAPKAPK,0.99,710317218>0.15,1.2025
VRK1,0.95,710317218>0.15,0.5491666666666667
MELK,0.92,710317218>0.15,0.6058333333333333
PKCA,0.9,710317218>0.15,0.8733333333333333
IRAK,-0.87,710317218>0.15,-0.5991666666666667
NDR,-0.87,710317218>0.15,-0.7333333333333334
CAMK2,-0.87,710317218>0.15,-0.9475
PKCI,-0.84,710317218>0.15,-0.6675
LKB,-0.84,710317218>0.15,-0.9408333333333334
SLK,-0.83,710317218>0.15,-0.7658333333333334
MOS,-0.82,710317218>0.15,-0.7608333333333334
PASK,-0.81,710317218>0.15,-0.7533333333333333
NIK,-0.81,710317218>0.15,-0.7466666666666667
ULK,-0.8,710317218>0.15,-0.75
BUD32,-0.78,710317218>0.15,-0.7525
CLK,-0.78,710317218>0.15,-0.745
CAMKK,-0.77,710317218>0.15,-0.7383333333333334
CDK,-0.75,710317218>0.15,-0.7741666666666667
RIPK,-0.73,710317218>0.15,-0.6258333333333334
ERK,0.7,710317218>0.15,0.5108333333333334
ATR,-0.65,710317218>0.15,-0.7966666666666666
PKA,0.61,710317218>0.15,0.9325
NEK,-0.59,710317218>0.15,0.18999999999999997
GSK,-0.58,710317218>0.15,-0.6891666666666667
MARK,0.58,710317218>0.15,0.5375
RSK,0.54,710317218>0.15,0.6941666666666667
PDK1,0.51,710317218>0.15,0.32
MSN,0.5,710317218>0.15,-0.09666666666666665
AUR,0.49,710317218>0.15,-0.02083333333333336
GRK,-0.45,710317218>0.15,-0.3466666666666667
PEK,-0.3,710317218>0.15,-0.07083333333333333
DAPK,0.3,710317218>0.15,0.29083333333333333
HAL,0.3,710317218>0.15,0.29833333333333334
AMPK,0.28,710317218>0.15,0.8616666666666667
RAF,0.28,710317218>0.15,0.35250000000000004
QIK,-0.24,710317218>0.15,-0.11083333333333333
P38,0.23,710317218>0.15,0.24916666666666668
IKK,-0.23,710317218>0.15,-0.47250000000000003
STKR,0.15,710317218>0.15,0.2725
MTOR,0.13,710317218>0.15,-0.5925
CAMK1,-0.11,710317218>0.15,0.023333333333333303
FRAY,0.11,710317218>0.15,0.21916666666666665
PDHK,-0.1,710317218>0.15,0.6408333333333334
MST,0.1,710317218>0.15,0.19333333333333333
PKG,0.08,710317218>0.15,0.44916666666666666
JNK,0.08,710317218>0.15,0.14
PAKA,0.07,710317218>0.15,0.4608333333333333
CHK1,-0.04,710317218>0.15,0.2625
COT,0.03,710317218>0.15,-0.43
PKCH,2.62,710317218>0.2,2.404166666666667
AKT,2.52,710317218>0.2,2.165
NMO,-2.42,710317218>0.2,-2.5858333333333334
DMPK,2.36,710317218>0.2,1.5533333333333332
STE7,-2.36,710317218>0.2,-1.4216666666666666
CK2,-2.03,710317218>0.2,-1.2575
PRKDC,-1.99,710317218>0.2,-1.7433333333333334
PAKB,1.94,710317218>0.2,1.525
PKN,1.88,710317218>0.2,1.3758333333333332
SGK,1.85,710317218>0.2,1.635
PLK,-1.75,710317218>0.2,-1.8725
STE11,-1.64,710317218>0.2,-1.255
PKA,1.63,710317218>0.2,0.9325
PKCD,-1.48,710317218>0.2,-1.2841666666666667
