Group,Peptide,slope,Kinase
Exposed,ACM1_444_456,3.8134869271046594,BARK1
Exposed,ACM1_444_456,3.8134869271046594,CDK
Exposed,ACM1_444_456,3.8134869271046594,CK1
Exposed,ACM1_444_456,3.8134869271046594,DAPK
Exposed,ACM1_444_456,3.8134869271046594,DMPK
Exposed,ACM1_444_456,3.8134869271046594,DYRK
Exposed,ACM1_444_456,3.8134869271046594,ERK
Exposed,ACM1_444_456,3.8134869271046594,GSK
Exposed,ACM1_444_456,3.8134869271046594,IRAK
Exposed,ACM1_444_456,3.8134869271046594,JNK
Exposed,ACM1_444_456,3.8134869271046594,MLCK
Exposed,ACM1_444_456,3.8134869271046594,P38
Exposed,ACM1_444_456,3.8134869271046594,PDK1
Exposed,ACM1_444_456,3.8134869271046594,PEK
Exposed,ACM1_444_456,3.8134869271046594,PHK
Exposed,ACM1_444_456,3.8134869271046594,PIM
Exposed,ACM1_444_456,3.8134869271046594,PKCA
Exposed,ACM1_444_456,3.8134869271046594,RSK
Exposed,ACM1_444_456,3.8134869271046594,VRK2
Exposed,ACM4_456_468,3.7801856013204627,BARK1
Exposed,ACM4_456_468,3.7801856013204627,FRAY
Exposed,ACM4_456_468,3.7801856013204627,MELK
Exposed,ACM4_456_468,3.7801856013204627,PDHK
Exposed,ACM4_456_468,3.7801856013204627,PDK1
Exposed,ACM4_456_468,3.7801856013204627,PIM
Exposed,ACM4_456_468,3.7801856013204627,PKCA
Exposed,ACM4_456_468,3.7801856013204627,PKCH
Exposed,ACM4_456_468,3.7801856013204627,VRK2
Exposed,ACM5_494_506,5.472084612722703,BARK1
Exposed,ACM5_494_506,5.472084612722703,FRAY
Exposed,ACM5_494_506,5.472084612722703,PDHK
Exposed,ACM5_494_506,5.472084612722703,PDK1
Exposed,ACM5_494_506,5.472084612722703,PEK
Exposed,ACM5_494_506,5.472084612722703,PKCA
Exposed,ACM5_494_506,5.472084612722703,VRK2
Exposed,ACM5_494_506,5.472084612722703,WNK
Exposed,ACM5_498_510,4.663783861923585,BARK1
Exposed,ACM5_498_510,4.663783861923585,FRAY
Exposed,ACM5_498_510,4.663783861923585,MLK
Exposed,ACM5_498_510,4.663783861923585,PDHK
Exposed,ACM5_498_510,4.663783861923585,PDK1
Exposed,ACM5_498_510,4.663783861923585,PEK
Exposed,ACM5_498_510,4.663783861923585,PKCA
Exposed,ACM5_498_510,4.663783861923585,PKCH
Exposed,ACM5_498_510,4.663783861923585,VRK2
Exposed,ADDB_706_718,4.726634018864332,BARK1
Exposed,ADDB_706_718,4.726634018864332,CDK
Exposed,ADDB_706_718,4.726634018864332,CHK1
Exposed,ADDB_706_718,4.726634018864332,DMPK
Exposed,ADDB_706_718,4.726634018864332,DYRK
Exposed,ADDB_706_718,4.726634018864332,ERK
Exposed,ADDB_706_718,4.726634018864332,JNK
Exposed,ADDB_706_718,4.726634018864332,MAPKAPK
