Kinase,Z,method,AvgZ
DMPK,3.79,710317419>0.15,3.795
NMO,-3.61,710317419>0.15,-3.2625
DYRK,-3.49,710317419>0.15,-3.6775
PLK,-3.34,710317419>0.15,-2.924166666666667
PKA,3.32,710317419>0.15,3.6833333333333336
JNK,-3.23,710317419>0.15,-3.2291666666666665
STE7,-3.13,710317419>0.15,-2.4775
RAD53,3.08,710317419>0.15,2.3775
PIM,3.02,710317419>0.15,2.52
RSK,2.49,710317419>0.15,2.6433333333333335
PKCH,2.44,710317419>0.15,1.3875
SGK,2.37,710317419>0.15,2.2291666666666665
AKT,2.27,710317419>0.15,2.138333333333333
ERK,-2.1,710317419>0.15,-2.7616666666666667
PDK1,-2.06,710317419>0.15,-2.569166666666667
PKG,2.06,710317419>0.15,2.890833333333333
AMPK,2.05,710317419>0.15,2.3516666666666666
CDK,-1.99,710317419>0.15,-1.8599999999999999
PAKA,1.87,710317419>0.15,1.81
PKCD,1.85,710317419>0.15,2.140833333333333
PHK,1.82,710317419>0.15,1.7008333333333334
CAMK1,1.8,710317419>0.15,2.0016666666666665
PKCA,1.68,710317419>0.15,1.0791666666666666
CK2,-1.6,710317419>0.15,-1.2850000000000001
TLK,-1.53,710317419>0.15,-1.3416666666666666
STE11,-1.52,710317419>0.15,-1.4058333333333333
NAK,-1.52,710317419>0.15,-1.3525
P38,-1.51,710317419>0.15,-1.9475
MAPKAPK,1.49,710317419>0.15,1.3325
PDHK,1.45,710317419>0.15,1.0375
GSK,-1.41,710317419>0.15,-1.2025000000000001
MELK,1.39,710317419>0.15,1.1033333333333333
MST,-1.38,710317419>0.15,-1.2583333333333333
PKN,1.37,710317419>0.15,0.6708333333333333
PKCI,1.37,710317419>0.15,1.7758333333333334
PAKB,1.36,710317419>0.15,0.9066666666666666
HAL,1.35,710317419>0.15,1.5283333333333333
PEK,-1.11,710317419>0.15,-0.7658333333333334
KHS,-1.06,710317419>0.15,-0.9533333333333334
SLK,-1.06,710317419>0.15,-0.9491666666666667
WNK,-1.05,710317419>0.15,-0.4391666666666667
NIK,-1.05,710317419>0.15,-0.9516666666666667
MOS,-1.05,710317419>0.15,-0.9333333333333333
ULK,-1.04,710317419>0.15,-0.9275
CAMKK,-1.03,710317419>0.15,-0.9441666666666667
CLK,-1.03,710317419>0.15,-0.9308333333333333
TAO,0.98,710317419>0.15,1.075
BUD32,0.97,710317419>0.15,0.895
CAMK2,-0.95,710317419>0.15,-0.9091666666666667
BRSK,0.95,710317419>0.15,0.7316666666666667
PASK,0.94,710317419>0.15,1.0491666666666666
MSN,0.94,710317419>0.15,0.3908333333333333
PKD,0.9,710317419>0.15,1.1400000000000001
CK1,-0.9,710317419>0.15,-0.5308333333333334
GRK,-0.79,710317419>0.15,-0.5
MLK,0.77,710317419>0.15,0.48
IRAK,-0.77,710317419>0.15,-0.9375
MARK,0.71,710317419>0.15,0.7241666666666666
CHK1,0.7,710317419>0.15,0.5783333333333334
ATR,0.65,710317419>0.15,0.7175
DAPK,0.65,710317419>0.15,0.59
STKR,-0.55,710317419>0.15,-0.29083333333333333
BARK2,0.51,710317419>0.15,0.5891666666666667
MTOR,-0.5,710317419>0.15,-0.6166666666666667
LKB,-0.49,710317419>0.15,-0.6799999999999999
IKK,-0.49,710317419>0.15,-0.04749999999999999
QIK,-0.44,710317419>0.15,-0.06000000000000001
RIPK,0.44,710317419>0.15,0.7458333333333333
COT,0.36,710317419>0.15,0.35083333333333333
MLCK,0.35,710317419>0.15,0.13916666666666666
VRK1,0.34,710317419>0.15,0.3691666666666667
NDR,0.33,710317419>0.15,0.4425
FRAY,0.27,710317419>0.15,-0.2025
PRKDC,-0.22,710317419>0.15,0.06333333333333332
AUR,0.14,710317419>0.15,0.4225
RAF,0.13,710317419>0.15,-0.16916666666666666
NUAK,-0.1,710317419>0.15,-0.024166666666666663
ATM,-0.08,710317419>0.15,0.04916666666666666
TTK,-0.06,710317419>0.15,-0.043333333333333335
NEK,-0.02,710317419>0.15,0.05416666666666665
DMPK,4.32,710317419>0.2,3.795
PKA,3.5,710317419>0.2,3.6833333333333336
NMO,-3.48,710317419>0.2,-3.2625
DYRK,-3.37,710317419>0.2,-3.6775
STE7,-3.15,710317419>0.2,-2.4775
JNK,-3.1,710317419>0.2,-3.2291666666666665
PLK,-3.05,710317419>0.2,-2.924166666666667
RAD53,2.88,710317419>0.2,2.3775
PIM,2.61,710317419>0.2,2.52
PKCH,2.54,710317419>0.2,1.3875
PKG,2.36,710317419>0.2,2.890833333333333
RSK,2.24,710317419>0.2,2.6433333333333335
ERK,-2.09,710317419>0.2,-2.7616666666666667
PDK1,-2.08,710317419>0.2,-2.569166666666667
AKT,2.08,710317419>0.2,2.138333333333333
AMPK,2.06,710317419>0.2,2.3516666666666666
PAKA,2.06,710317419>0.2,1.81
SGK,2.05,710317419>0.2,2.2291666666666665
CAMK1,1.97,710317419>0.2,2.0016666666666665
PKCD,1.94,710317419>0.2,2.140833333333333
CDK,-1.9,710317419>0.2,-1.8599999999999999
PHK,1.63,710317419>0.2,1.7008333333333334
P38,-1.6,710317419>0.2,-1.9475
MELK,1.6,710317419>0.2,1.1033333333333333
CK2,-1.52,710317419>0.2,-1.2850000000000001
PKCA,1.49,710317419>0.2,1.0791666666666666
NAK,-1.48,710317419>0.2,-1.3525
PDHK,1.46,710317419>0.2,1.0375
TLK,-1.43,710317419>0.2,-1.3416666666666666
PKCI,1.43,710317419>0.2,1.7758333333333334
PKN,1.4,710317419>0.2,0.6708333333333333
PAKB,1.38,710317419>0.2,0.9066666666666666
HAL,1.37,710317419>0.2,1.5283333333333333
STE11,-1.36,710317419>0.2,-1.4058333333333333
GSK,-1.29,710317419>0.2,-1.2025000000000001
MST,-1.22,710317419>0.2,-1.2583333333333333
PKD,1.08,710317419>0.2,1.1400000000000001
MAPKAPK,1.07,710317419>0.2,1.3325
SLK,-1.06,710317419>0.2,-0.9491666666666667
CLK,-1.03,710317419>0.2,-0.9308333333333333
NIK,-1.02,710317419>0.2,-0.9516666666666667
CAMKK,-1.02,710317419>0.2,-0.9441666666666667
ULK,-1.01,710317419>0.2,-0.9275
KHS,-1.01,710317419>0.2,-0.9533333333333334
MOS,-1,710317419>0.2,-0.9333333333333333
WNK,-1,710317419>0.2,-0.4391666666666667
BUD32,0.98,710317419>0.2,0.895
TAO,0.97,710317419>0.2,1.075
BRSK,0.97,710317419>0.2,0.7316666666666667
PASK,0.96,710317419>0.2,1.0491666666666666
PEK,-0.95,710317419>0.2,-0.7658333333333334
CAMK2,-0.89,710317419>0.2,-0.9091666666666667
MLK,0.88,710317419>0.2,0.48
ATR,0.83,710317419>0.2,0.7175
MTOR,-0.82,710317419>0.2,-0.6166666666666667
CHK1,0.81,710317419>0.2,0.5783333333333334
MARK,0.81,710317419>0.2,0.7241666666666666
DAPK,0.78,710317419>0.2,0.59
CK1,-0.75,710317419>0.2,-0.5308333333333334
GRK,-0.66,710317419>0.2,-0.5
IRAK,-0.65,710317419>0.2,-0.9375
RIPK,0.62,710317419>0.2,0.7458333333333333
BARK2,0.56,710317419>0.2,0.5891666666666667
COT,-0.52,710317419>0.2,0.35083333333333333
QIK,-0.49,710317419>0.2,-0.06000000000000001
MLCK,0.44,710317419>0.2,0.13916666666666666
VRK1,0.43,710317419>0.2,0.3691666666666667
NDR,0.42,710317419>0.2,0.4425
STKR,-0.41,710317419>0.2,-0.29083333333333333
LKB,-0.4,710317419>0.2,-0.6799999999999999
AUR,0.27,710317419>0.2,0.4225
IKK,-0.21,710317419>0.2,-0.04749999999999999
NEK,0.14,710317419>0.2,0.05416666666666665
PRKDC,-0.11,710317419>0.2,0.06333333333333332
RAF,-0.1,710317419>0.2,-0.16916666666666666
FRAY,-0.1,710317419>0.2,-0.2025
ATM,-0.04,710317419>0.2,0.04916666666666666
TTK,-0.03,710317419>0.2,-0.043333333333333335
MSN,-0.02,710317419>0.2,0.3908333333333333
NUAK,-0.02,710317419>0.2,-0.024166666666666663
DMPK,4.74,710317419>0.3,3.795
PKA,4.03,710317419>0.3,3.6833333333333336
DYRK,-3.87,710317419>0.3,-3.6775
JNK,-3.27,710317419>0.3,-3.2291666666666665
PDK1,-3.21,710317419>0.3,-2.569166666666667
PKG,3.16,710317419>0.3,2.890833333333333
NMO,-3.12,710317419>0.3,-3.2625
RAD53,2.97,710317419>0.3,2.3775
ERK,-2.72,710317419>0.3,-2.7616666666666667
PIM,2.66,710317419>0.3,2.52
STE7,-2.64,710317419>0.3,-2.4775
PLK,-2.62,710317419>0.3,-2.924166666666667
RSK,2.53,710317419>0.3,2.6433333333333335
PKCD,2.52,710317419>0.3,2.140833333333333
PHK,2.37,710317419>0.3,1.7008333333333334
P38,-2.36,710317419>0.3,-1.9475
CDK,-2.15,710317419>0.3,-1.8599999999999999
AKT,2.01,710317419>0.3,2.138333333333333
SGK,2,710317419>0.3,2.2291666666666665
PKCI,1.98,710317419>0.3,1.7758333333333334
AMPK,1.91,710317419>0.3,2.3516666666666666
PAKA,1.81,710317419>0.3,1.81
HAL,1.66,710317419>0.3,1.5283333333333333
MAPKAPK,1.64,710317419>0.3,1.3325
STE11,-1.63,710317419>0.3,-1.4058333333333333
MELK,1.59,710317419>0.3,1.1033333333333333
PKN,1.57,710317419>0.3,0.6708333333333333
PKD,1.46,710317419>0.3,1.1400000000000001
CHK1,1.34,710317419>0.3,0.5783333333333334
ATR,1.32,710317419>0.3,0.7175
MST,-1.32,710317419>0.3,-1.2583333333333333
CAMK1,1.29,710317419>0.3,2.0016666666666665
TLK,-1.29,710317419>0.3,-1.3416666666666666
NAK,-1.27,710317419>0.3,-1.3525
IRAK,-1.18,710317419>0.3,-0.9375
BRSK,1.15,710317419>0.3,0.7316666666666667
BUD32,1.14,710317419>0.3,0.895
TAO,1.13,710317419>0.3,1.075
