Kinase,Z,method,AvgZ
FAK,-2.25,640091108>0.15,-1.8075
SEV,1.63,640091108>0.15,1.6191666666666666
SRC,-1.57,640091108>0.15,-1.0033333333333334
JAK,-1.55,640091108>0.15,-1.3841666666666668
EPH,-1.34,640091108>0.15,-0.6941666666666667
ALK,1.29,640091108>0.15,1.5291666666666666
VEGFR,1.13,640091108>0.15,0.9216666666666666
CSK,1.03,640091108>0.15,1.0508333333333333
AXL,-0.99,640091108>0.15,-1.0225
DDR,0.97,640091108>0.15,1.6824999999999999
RYK,-0.86,640091108>0.15,-0.9275
TRK,0.83,640091108>0.15,0.5116666666666667
SYK,-0.67,640091108>0.15,-0.33416666666666667
ACK,-0.61,640091108>0.15,-0.6466666666666666
MET,-0.59,640091108>0.15,0.7424999999999999
INSR,0.53,640091108>0.15,1.1166666666666667
EGFR,-0.49,640091108>0.15,0.5958333333333332
FRK,-0.4,640091108>0.15,0.4075
FGFR,-0.33,640091108>0.15,0.42750000000000005
FER,-0.29,640091108>0.15,-0.05833333333333333
RET,-0.2,640091108>0.15,-0.43416666666666665
PDGFR,-0.11,640091108>0.15,-0.058333333333333376
TEC,-0.03,640091108>0.15,0.72
ABL,0.02,640091108>0.15,0.7758333333333333
FAK,-2.5,640091108>0.2,-1.8075
SEV,1.89,640091108>0.2,1.6191666666666666
ALK,1.53,640091108>0.2,1.5291666666666666
SRC,-1.52,640091108>0.2,-1.0033333333333334
DDR,1.39,640091108>0.2,1.6824999999999999
JAK,-0.99,640091108>0.2,-1.3841666666666668
VEGFR,0.94,640091108>0.2,0.9216666666666666
AXL,-0.85,640091108>0.2,-1.0225
CSK,0.85,640091108>0.2,1.0508333333333333
SYK,-0.83,640091108>0.2,-0.33416666666666667
INSR,0.78,640091108>0.2,1.1166666666666667
RYK,-0.77,640091108>0.2,-0.9275
EPH,-0.64,640091108>0.2,-0.6941666666666667
FRK,-0.64,640091108>0.2,0.4075
EGFR,0.57,640091108>0.2,0.5958333333333332
ACK,-0.54,640091108>0.2,-0.6466666666666666
ABL,0.35,640091108>0.2,0.7758333333333333
PDGFR,0.32,640091108>0.2,-0.058333333333333376
TEC,-0.28,640091108>0.2,0.72
TRK,0.25,640091108>0.2,0.5116666666666667
RET,0.2,640091108>0.2,-0.43416666666666665
FGFR,0.14,640091108>0.2,0.42750000000000005
MET,0.12,640091108>0.2,0.7424999999999999
FER,-0.02,640091108>0.2,-0.05833333333333333
SRC,-2.18,640091108>0.3,-1.0033333333333334
SEV,2.03,640091108>0.3,1.6191666666666666
FAK,-2,640091108>0.3,-1.8075
CSK,1.5,640091108>0.3,1.0508333333333333
DDR,1.38,640091108>0.3,1.6824999999999999
AXL,-1.3,640091108>0.3,-1.0225
TEC,1.29,640091108>0.3,0.72
VEGFR,1.27,640091108>0.3,0.9216666666666666
JAK,-1.21,640091108>0.3,-1.3841666666666668
SYK,-1.06,640091108>0.3,-0.33416666666666667
ALK,1.03,640091108>0.3,1.5291666666666666
FRK,-0.95,640091108>0.3,0.4075
FGFR,0.92,640091108>0.3,0.42750000000000005
RET,0.72,640091108>0.3,-0.43416666666666665
PDGFR,0.72,640091108>0.3,-0.058333333333333376
RYK,-0.66,640091108>0.3,-0.9275
ACK,-0.47,640091108>0.3,-0.6466666666666666
EGFR,0.47,640091108>0.3,0.5958333333333332
ABL,0.41,640091108>0.3,0.7758333333333333
FER,0.36,640091108>0.3,-0.05833333333333333
TRK,0.32,640091108>0.3,0.5116666666666667
EPH,-0.25,640091108>0.3,-0.6941666666666667
INSR,0.19,640091108>0.3,1.1166666666666667
MET,0.04,640091108>0.3,0.7424999999999999
SEV,2.9,640091108>0.4,1.6191666666666666
SRC,-2.9,640091108>0.4,-1.0033333333333334
FAK,-1.54,640091108>0.4,-1.8075
EGFR,1.39,640091108>0.4,0.5958333333333332
TEC,1.22,640091108>0.4,0.72
CSK,1.2,640091108>0.4,1.0508333333333333
SYK,-1.15,640091108>0.4,-0.33416666666666667
INSR,-0.89,640091108>0.4,1.1166666666666667
JAK,-0.84,640091108>0.4,-1.3841666666666668
PDGFR,0.83,640091108>0.4,-0.058333333333333376
FGFR,0.75,640091108>0.4,0.42750000000000005
DDR,0.73,640091108>0.4,1.6824999999999999
EPH,-0.62,640091108>0.4,-0.6941666666666667
TRK,0.61,640091108>0.4,0.5116666666666667
RYK,-0.48,640091108>0.4,-0.9275
VEGFR,0.42,640091108>0.4,0.9216666666666666
FRK,-0.36,640091108>0.4,0.4075
ACK,-0.34,640091108>0.4,-0.6466666666666666
RET,-0.29,640091108>0.4,-0.43416666666666665
ALK,0.28,640091108>0.4,1.5291666666666666
MET,0.22,640091108>0.4,0.7424999999999999
ABL,0.13,640091108>0.4,0.7758333333333333
AXL,-0.1,640091108>0.4,-1.0225
FER,0.03,640091108>0.4,-0.05833333333333333
DDR,1.92,640091218>0.15,1.6824999999999999
FAK,-1.72,640091218>0.15,-1.8075
ALK,1.71,640091218>0.15,1.5291666666666666
INSR,1.55,640091218>0.15,1.1166666666666667
JAK,-1.54,640091218>0.15,-1.3841666666666668
SEV,1.35,640091218>0.15,1.6191666666666666
MET,1.26,640091218>0.15,0.7424999999999999
ABL,1.14,640091218>0.15,0.7758333333333333
RYK,-1.06,640091218>0.15,-0.9275
AXL,-1.05,640091218>0.15,-1.0225
CSK,0.97,640091218>0.15,1.0508333333333333
VEGFR,0.89,640091218>0.15,0.9216666666666666
FRK,0.89,640091218>0.15,0.4075
ACK,-0.74,640091218>0.15,-0.6466666666666666
RET,-0.72,640091218>0.15,-0.43416666666666665
EPH,-0.7,640091218>0.15,-0.6941666666666667
EGFR,0.7,640091218>0.15,0.5958333333333332
TEC,0.7,640091218>0.15,0.72
TRK,0.49,640091218>0.15,0.5116666666666667
SRC,-0.45,640091218>0.15,-1.0033333333333334
FGFR,0.4,640091218>0.15,0.42750000000000005
PDGFR,-0.27,640091218>0.15,-0.058333333333333376
FER,-0.12,640091218>0.15,-0.05833333333333333
SYK,0,640091218>0.15,-0.33416666666666667
DDR,2.04,640091218>0.2,1.6824999999999999
ALK,1.89,640091218>0.2,1.5291666666666666
INSR,1.68,640091218>0.2,1.1166666666666667
FAK,-1.6,640091218>0.2,-1.8075
JAK,-1.44,640091218>0.2,-1.3841666666666668
SEV,1.41,640091218>0.2,1.6191666666666666
AXL,-1.26,640091218>0.2,-1.0225
CSK,1.06,640091218>0.2,1.0508333333333333
RYK,-1.02,640091218>0.2,-0.9275
TEC,0.98,640091218>0.2,0.72
VEGFR,0.95,640091218>0.2,0.9216666666666666
MET,0.94,640091218>0.2,0.7424999999999999
FRK,0.93,640091218>0.2,0.4075
ABL,0.9,640091218>0.2,0.7758333333333333
ACK,-0.7,640091218>0.2,-0.6466666666666666
RET,-0.68,640091218>0.2,-0.43416666666666665
EPH,-0.66,640091218>0.2,-0.6941666666666667
EGFR,0.57,640091218>0.2,0.5958333333333332
TRK,0.56,640091218>0.2,0.5116666666666667
FGFR,0.55,640091218>0.2,0.42750000000000005
SRC,-0.54,640091218>0.2,-1.0033333333333334
PDGFR,-0.37,640091218>0.2,-0.058333333333333376
SYK,-0.1,640091218>0.2,-0.33416666666666667
FER,-0.06,640091218>0.2,-0.05833333333333333
DDR,2.04,640091218>0.3,1.6824999999999999
ALK,1.89,640091218>0.3,1.5291666666666666
INSR,1.68,640091218>0.3,1.1166666666666667
FAK,-1.6,640091218>0.3,-1.8075
JAK,-1.44,640091218>0.3,-1.3841666666666668
SEV,1.41,640091218>0.3,1.6191666666666666
AXL,-1.26,640091218>0.3,-1.0225
CSK,1.06,640091218>0.3,1.0508333333333333
RYK,-1.02,640091218>0.3,-0.9275
TEC,0.98,640091218>0.3,0.72
VEGFR,0.95,640091218>0.3,0.9216666666666666
MET,0.94,640091218>0.3,0.7424999999999999
FRK,0.93,640091218>0.3,0.4075
ABL,0.9,640091218>0.3,0.7758333333333333
ACK,-0.7,640091218>0.3,-0.6466666666666666
RET,-0.68,640091218>0.3,-0.43416666666666665
EPH,-0.66,640091218>0.3,-0.6941666666666667
EGFR,0.57,640091218>0.3,0.5958333333333332
TRK,0.56,640091218>0.3,0.5116666666666667
FGFR,0.55,640091218>0.3,0.42750000000000005
SRC,-0.54,640091218>0.3,-1.0033333333333334
PDGFR,-0.37,640091218>0.3,-0.058333333333333376
SYK,-0.1,640091218>0.3,-0.33416666666666667
FER,-0.06,640091218>0.3,-0.05833333333333333
DDR,2.04,640091218>0.4,1.6824999999999999
ALK,1.89,640091218>0.4,1.5291666666666666
INSR,1.68,640091218>0.4,1.1166666666666667
FAK,-1.6,640091218>0.4,-1.8075
JAK,-1.44,640091218>0.4,-1.3841666666666668
SEV,1.41,640091218>0.4,1.6191666666666666
AXL,-1.26,640091218>0.4,-1.0225
CSK,1.06,640091218>0.4,1.0508333333333333
RYK,-1.02,640091218>0.4,-0.9275
TEC,0.98,640091218>0.4,0.72
VEGFR,0.95,640091218>0.4,0.9216666666666666
MET,0.94,640091218>0.4,0.7424999999999999
FRK,0.93,640091218>0.4,0.4075
ABL,0.9,640091218>0.4,0.7758333333333333
ACK,-0.7,640091218>0.4,-0.6466666666666666
RET,-0.68,640091218>0.4,-0.43416666666666665
EPH,-0.66,640091218>0.4,-0.6941666666666667
EGFR,0.57,640091218>0.4,0.5958333333333332
TRK,0.56,640091218>0.4,0.5116666666666667
FGFR,0.55,640091218>0.4,0.42750000000000005
SRC,-0.54,640091218>0.4,-1.0033333333333334
PDGFR,-0.37,640091218>0.4,-0.058333333333333376
SYK,-0.1,640091218>0.4,-0.33416666666666667
FER,-0.06,640091218>0.4,-0.05833333333333333
DDR,1.92,640091219>0.15,1.6824999999999999
FAK,-1.72,640091219>0.15,-1.8075
ALK,1.71,640091219>0.15,1.5291666666666666
INSR,1.55,640091219>0.15,1.1166666666666667
JAK,-1.54,640091219>0.15,-1.3841666666666668
SEV,1.35,640091219>0.15,1.6191666666666666
MET,1.26,640091219>0.15,0.7424999999999999
ABL,1.14,640091219>0.15,0.7758333333333333
RYK,-1.06,640091219>0.15,-0.9275
AXL,-1.05,640091219>0.15,-1.0225
CSK,0.97,640091219>0.15,1.0508333333333333
VEGFR,0.89,640091219>0.15,0.9216666666666666
FRK,0.89,640091219>0.15,0.4075
ACK,-0.74,640091219>0.15,-0.6466666666666666
