Barcode,Peptide,LFC,Kinase
710317218,ACM1_444_456,-0.5165051383556856,BARK1
710317218,ACM1_444_456,-0.5165051383556856,CDK
710317218,ACM1_444_456,-0.5165051383556856,CK1
710317218,ACM1_444_456,-0.5165051383556856,DAPK
710317218,ACM1_444_456,-0.5165051383556856,DMPK
710317218,ACM1_444_456,-0.5165051383556856,DYRK
710317218,ACM1_444_456,-0.5165051383556856,ERK
710317218,ACM1_444_456,-0.5165051383556856,GSK
710317218,ACM1_444_456,-0.5165051383556856,IRAK
710317218,ACM1_444_456,-0.5165051383556856,JNK
710317218,ACM1_444_456,-0.5165051383556856,MLCK
710317218,ACM1_444_456,-0.5165051383556856,P38
710317218,ACM1_444_456,-0.5165051383556856,PDK1
710317218,ACM1_444_456,-0.5165051383556856,PEK
710317218,ACM1_444_456,-0.5165051383556856,PHK
710317218,ACM1_444_456,-0.5165051383556856,PIM
710317218,ACM1_444_456,-0.5165051383556856,PKCA
710317218,ACM1_444_456,-0.5165051383556856,RSK
710317218,ACM1_444_456,-0.5165051383556856,VRK2
710317218,ACM1_444_456,-0.609949184193185,BARK1
710317218,ACM1_444_456,-0.609949184193185,CDK
710317218,ACM1_444_456,-0.609949184193185,CK1
710317218,ACM1_444_456,-0.609949184193185,DAPK
710317218,ACM1_444_456,-0.609949184193185,DMPK
710317218,ACM1_444_456,-0.609949184193185,DYRK
710317218,ACM1_444_456,-0.609949184193185,ERK
710317218,ACM1_444_456,-0.609949184193185,GSK
710317218,ACM1_444_456,-0.609949184193185,IRAK
710317218,ACM1_444_456,-0.609949184193185,JNK
710317218,ACM1_444_456,-0.609949184193185,MLCK
710317218,ACM1_444_456,-0.609949184193185,P38
710317218,ACM1_444_456,-0.609949184193185,PDK1
710317218,ACM1_444_456,-0.609949184193185,PEK
710317218,ACM1_444_456,-0.609949184193185,PHK
710317218,ACM1_444_456,-0.609949184193185,PIM
710317218,ACM1_444_456,-0.609949184193185,PKCA
710317218,ACM1_444_456,-0.609949184193185,RSK
710317218,ACM1_444_456,-0.609949184193185,VRK2
710317218,ACM4_456_468,0.11192565406971466,BARK1
710317218,ACM4_456_468,0.11192565406971466,FRAY
710317218,ACM4_456_468,0.11192565406971466,MELK
710317218,ACM4_456_468,0.11192565406971466,PDHK
710317218,ACM4_456_468,0.11192565406971466,PDK1
710317218,ACM4_456_468,0.11192565406971466,PIM
710317218,ACM4_456_468,0.11192565406971466,PKCA
710317218,ACM4_456_468,0.11192565406971466,PKCH
710317218,ACM4_456_468,0.11192565406971466,VRK2
710317218,ACM4_456_468,-0.1629385711262059,BARK1
710317218,ACM4_456_468,-0.1629385711262059,FRAY
710317218,ACM4_456_468,-0.1629385711262059,MELK
710317218,ACM4_456_468,-0.1629385711262059,PDHK
710317218,ACM4_456_468,-0.1629385711262059,PDK1
710317218,ACM4_456_468,-0.1629385711262059,PIM
710317218,ACM4_456_468,-0.1629385711262059,PKCA
710317218,ACM4_456_468,-0.1629385711262059,PKCH
710317218,ACM4_456_468,-0.1629385711262059,VRK2
710317218,ACM5_494_506,0.33760235520455595,BARK1
710317218,ACM5_494_506,0.33760235520455595,FRAY
710317218,ACM5_494_506,0.33760235520455595,PDHK
710317218,ACM5_494_506,0.33760235520455595,PDK1
